code_muni,en,ln,n,med
3160207,6.56,7.62,12.21,8.65
3160306,41.06,32.81,44.86,39.35
3160405,16.62,14.44,21.43,17.33
3160454,3.5,2.06,3,2.85
3160504,9.31,11.19,11.57,10.65
3160603,2.19,3.31,9,4.65
3160702,22.06,19.19,19.43,20.26
3160801,26.88,20.88,21,23
3160900,14.56,12.19,19.21,15.15
3160959,9.69,11,15.64,11.96
3161007,11.88,12.12,10.93,11.67
3161056,11,14.69,18.86,14.67
3161106,2.19,2.69,6,3.52
3161205,22.38,19.5,24.07,21.89
3161304,11.44,19.5,24.14,18.11
3161403,13.44,16.56,17.79,15.85
3161502,21,16.88,19.43,19.09
3161601,12.12,13.31,16.93,14
3161650,8.94,12.12,14.43,11.72
3161700,3.75,6.38,8.57,6.13
3161809,15.06,16.25,17.64,16.26
3161908,10.31,11.81,12.93,11.63
3162005,34.19,24.75,29.93,29.61
3162104,12.38,12,16,13.35
3162203,20.75,20.19,23.14,21.28
3162252,3.81,3.38,6.21,4.39
3162302,30.44,25.19,32,29.09
3162401,1.94,1.31,6.43,3.09
3162450,0.56,1.69,3.21,1.76
3162500,16.88,19.56,18.5,18.3
3162559,13.5,11.38,14.86,13.17
3162575,12.81,18.06,21,17.13
3162609,9.56,9.38,15.57,11.33
3162658,3.25,2.75,6.43,4.04
3162708,4.44,5.19,8.86,6.04
3162807,8.75,8.75,11.93,9.72
3162906,18.31,18.44,18.93,18.54
3162922,13.44,10.75,16.36,13.39
3162948,23.62,21.31,24.36,23.04
3162955,5.5,7.62,11.64,8.11
3163003,11.94,9.06,13.14,11.3
3163102,9.62,9.88,12.5,10.59
3163201,40.75,27.38,38.79,35.5
3163300,14.94,16.94,22.57,17.96
3163409,12.75,8,13.57,11.35
3163508,9.56,7.44,12.71,9.78
3163607,12.44,12.94,16,13.7
3163706,33.44,25,30.57,29.63
3163805,14.94,14.38,21.14,16.63
3163904,29.62,27.56,35.57,30.72
3164001,13.38,10.75,14.07,12.67
3164100,11.31,9.25,13.57,11.28
3164209,1.81,3.62,8.57,4.5
3164308,19.44,18,20.14,19.15
3164407,34.69,24.69,31.36,30.2
3164431,20.81,18.5,22.07,20.39
3164472,9.31,12.69,13.93,11.89
3164506,10.62,7,13.07,10.11
3164605,17.25,17.06,21.43,18.46
3164704,30.56,26.75,34.79,30.52
3164803,8.31,12.31,11.93,10.8
3164902,33.81,25.56,33.43,30.83
3165008,17.69,20.88,21.93,20.09
3165107,26.5,25.81,31.5,27.78
3165206,33.06,21,29.36,27.74
3165305,28.94,22.44,23.21,24.93
3165404,46.31,37.25,40.93,41.52
3165503,11.44,12.94,15.36,13.15
3165537,13.69,11.19,19.71,14.65
3165552,14.12,10.06,17.93,13.87
3165560,12.81,10.12,11.79,11.57
3165578,46,37.44,46.43,43.15
3165602,21.62,16.38,18.64,18.89
3165701,16.06,17.62,16.93,16.87
3165800,34.5,27.69,33,31.67
3165909,5.06,5.69,8.43,6.3
3166006,13.94,17.19,18.79,16.54
3166105,8.88,10.75,11,10.17
3166204,17.12,17.44,20.64,18.3
3166303,12.31,13,15.43,13.5
3166402,31.19,26.12,26.14,27.89
3166501,6.06,7.31,11.43,8.13
3166600,12.25,12.12,15.71,13.26
3166709,31.44,30.94,43.64,34.98
3166808,13.56,11.88,16.93,14
3166907,26.75,26.25,29.64,27.46
3166956,1.44,1.44,3.86,2.17
3167004,30.81,24.5,25.64,27.04
3167103,6.69,7.12,9.93,7.83
3167202,7.25,7.12,11.36,8.46
3167301,17,17.69,19.21,17.91
3167400,33.94,24.38,30.57,29.59
3167509,25.44,20.81,22.79,23.02
3167608,11.19,11.56,15.79,12.72
3167707,9.81,7.44,16.14,10.91
3167806,33.38,25.62,31.43,30.09
3167905,23.06,19.12,19.14,20.5
3168002,3.38,4.38,6.29,4.61
3168051,10.12,13.38,15.43,12.87
3168101,19,16.69,19,18.2
3168200,15.69,15.81,20.14,17.09
3168309,6.75,8.06,12,8.8
3168408,9.56,10.19,15.14,11.48
3168507,14.44,14.12,20,16.02
3168606,24.06,19.62,27.21,23.48
3168705,10.44,8.25,14.57,10.93
3168804,16.75,19.44,20.71,18.89
3168903,9.31,7.69,9.5,8.8
3169000,20.44,20.19,19.57,20.09
3169059,39.25,29.62,34.79,34.54
3169109,57.88,43.44,58.64,53.09
3169208,18.5,19.69,18.79,19
3169307,29.38,22.5,24.86,25.61
3169356,3.06,4.88,7.14,4.93
3169406,26.94,23.31,24.21,24.85
3169505,8.62,10.38,13.64,10.76
3169604,8.31,9.56,21.79,12.85
3169703,2.69,4.31,6,4.26
3169802,29,24.44,32.21,28.39
3169901,21.31,19.75,20.64,20.57
3170008,1.94,4.19,7,4.26
3170057,9.94,10.62,15.86,11.98
3170107,16.81,15.88,23.36,18.48
3170206,12.94,8.69,21.43,14.04
3170305,39.62,36.31,48.14,41.07
3170404,2.44,3.38,11.29,5.46
3170438,12.19,17.62,29.29,19.28
3170479,2.5,3.06,8,4.37
3170503,12.19,11.19,14.5,12.54
3170529,1.81,3.81,8.5,4.54
3170578,11.44,10.38,15.71,12.37
3170602,19.56,17.88,21.5,19.57
3170651,4.56,3.5,6.5,4.78
3170701,30.06,23.62,27.43,27.02
3170750,7.25,8.62,9.36,8.37
3170800,1.75,2.81,7.14,3.76
3170909,2.19,1.06,5.5,2.8
3171006,3.81,6.06,8.93,6.15
3171030,0.88,0.81,2.29,1.28
3171071,3.62,3.94,7.36,4.87
3171105,14.69,15.25,24.36,17.83
3171154,12.62,10.06,15.57,12.63
3171204,8.19,8.31,12.64,9.59
3171303,14.31,14.38,20.21,16.13
