code_muni,en,ln,n,med
2106409,-0.33,0.18,0.2,0.01
2106508,-0.44,0.27,0.21,0.01
2106607,-0.3,0.17,0.2,0.01
2106631,-0.38,0.23,0.17,0.01
2106672,-0.44,0.25,0.17,-0.01
2106706,-0.4,0.28,0.09,0
2106755,-0.37,0.23,0.18,0.01
2106805,-0.46,0.33,0.21,0.03
2106904,-0.4,0.18,0.31,0.01
2107001,-0.62,0.46,0.1,0.01
2107100,-0.5,0.28,0.29,0.01
2107209,-0.44,0.21,0.33,0.01
2107258,-0.41,0.15,0.42,0.01
2107308,-0.36,0.15,0.31,0
2107357,-0.51,0.32,0.21,0.01
2107407,-0.32,0.18,0.17,0
2107456,-0.43,0.28,0.19,0.01
2107506,-0.55,0.29,0.37,0.01
2107605,-0.45,0.32,0.15,0.01
2107704,-0.35,0.16,0.25,0
2107803,-0.29,0.11,0.24,0
2107902,-0.37,0.11,0.41,0.01
2108009,-0.32,0.14,0.25,0.01
2108058,-0.47,0.24,0.32,0.01
2108108,-0.53,0.3,0.3,0.01
2108207,-0.54,0.3,0.33,0.01
2108256,-0.44,0.31,0.13,0.01
2108306,-0.42,0.26,0.19,0.01
2108405,-0.48,0.31,0.24,0.02
2108454,-0.36,0.22,0.21,0.01
2108504,-0.49,0.24,0.35,0.01
2108603,-0.46,0.34,0.13,0.02
2108702,-0.33,0.17,0.21,0
2108801,-0.43,0.19,0.35,0.01
2108900,-0.63,0.35,0.37,0.01
2109007,-0.49,0.28,0.3,0.01
2109056,-0.46,0.33,0.2,0.03
2109106,-0.62,0.26,0.49,0.01
2109205,-0.49,0.28,0.26,0.01
2109239,-0.45,0.36,0.04,0.01
2109270,-0.51,0.36,0.15,0.01
2109304,-0.48,0.28,0.26,0.01
2109403,-0.5,0.24,0.39,0.02
2109452,-0.54,0.28,0.36,0.02
2109502,-0.37,0.2,0.23,0.01
2109551,-0.52,0.38,0.12,0.01
2109601,-0.47,0.27,0.25,0.01
2109700,-0.37,0.24,0.13,0.01
2109759,-0.62,0.34,0.36,0.01
2109809,-0.48,0.36,0.14,0.02
2109908,-0.46,0.22,0.32,0.01
2110005,-0.49,0.22,0.38,0.01
2110039,-0.46,0.36,0.07,0.01
2110104,-0.52,0.26,0.19,-0.03
2110203,-0.42,0.26,0.2,0.01
2110237,-0.43,0.24,0.26,0.01
2110278,-0.49,0.31,0.23,0.01
2110302,-0.52,0.22,0.42,0.01
2110401,-0.44,0.26,0.25,0.01
2110500,-0.45,0.32,0.16,0.02
2110609,-0.42,0.21,0.26,0
2110658,-0.27,0.23,-0.01,0
2110708,-0.42,0.14,0.43,0.01
2110807,-0.25,0.21,-0.05,-0.01
2110856,-0.6,0.48,0.02,0.01
2110906,-0.36,0.12,0.32,0
2111003,-0.38,0.23,0.18,0.01
2111029,-0.58,0.38,0.22,0.01
2111052,-0.45,0.25,0.3,0.02
2111078,-0.41,0.22,0.31,0.02
2111102,-0.31,0.17,0.19,0.01
2111201,-0.55,0.29,0.37,0.01
2111250,-0.62,0.25,0.51,0.01
2111300,-0.55,0.28,0.39,0.01
2111409,-0.36,0.25,0.13,0.01
2111508,-0.37,0.25,0.13,0.01
2111532,-0.46,0.41,-0.1,0
2111573,-0.44,0.16,0.5,0.02
2111607,-0.33,0.21,0.12,0
2111631,-0.68,0.4,0.33,0.01
2111672,-0.67,0.39,0.36,0.01
2111706,-0.46,0.28,0.22,0.01
2111722,-0.4,0.2,0.26,0.01
2111748,-0.48,0.23,0.38,0.01
2111763,-0.59,0.5,-0.03,0.01
2111789,-0.45,0.32,0.2,0.03
2111805,-0.38,0.39,-0.13,0.01
2111904,-0.36,0.22,0.18,0.01
2111953,-0.33,0.16,0.23,0.01
2112001,-0.21,0.1,0.19,0.01
2112100,-0.32,0.18,0.2,0.01
2112209,-0.19,0.24,-0.1,0.02
2112233,-0.41,0.24,0.23,0.01
2112274,-0.47,0.26,0.28,0.01
2112308,-0.56,0.33,0.3,0.01
2112407,-0.38,0.32,0.06,0.02
2112456,-0.46,0.36,0.07,0.02
2112506,-0.44,0.23,0.3,0.01
2112605,-0.4,0.17,0.34,0.01
2112704,-0.44,0.18,0.38,0.01
2112803,-0.39,0.25,0.19,0.01
2112852,-0.53,0.45,-0.06,0
2112902,-0.3,0.15,0.22,0.01
2113009,-0.43,0.25,0.23,0.01
2114007,-0.52,0.35,0.17,0.01
2200053,-0.26,0.17,0.12,0.01
2200103,-0.28,0.18,0.14,0.01
2200202,-0.12,0.19,0.19,0.09
2200251,-0.38,0.23,0.21,0.01
